mean_power,std_power,peak_power,ramp_max,smoothness,complementarity,wind_mean,pv_mean,wind_peak,pv_peak,wind_std,pv_std,low_output_rate,power_deficit,risk_score,scenario_index,wind_label,pv_label,stratify_tag,subset,risk_weight_1,risk_weight_2,risk_weight_3,risk_weight_4,risk_bin,opf_tag,load_scale,reactive_scale,renewable_scale,scenario_stress,sample_id,sample_seed
0.0612839390151919,0.0535815189838653,0.2043697970511849,0.0570477103221744,0.008404063487202,0.2699373757854014,0.0756232232322665,0.0469446547981174,0.3937777217679997,0.2025083319818948,0.1042923358329298,0.0655634003412004,0.78125,0.938716060984808,3.107918546839361,17,0,1,0_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,0_1_1,0.9326937675081568,0.8333006656041467,0.18904260144576324,0.22782377750354207,2,2027
0.0528913090612405,0.0536518409930124,0.2923528578689355,0.2226145721275475,0.0161893718687013,0.5087524525681729,0.0972763993099404,0.0085062188125405,0.584705715737871,0.0434569714463414,0.1131947379070559,0.0126723928041473,0.8229166666666666,0.9471086909387596,4.534613513739698,24,0,2,0_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,0_2_3,0.9398135475991417,0.8347174919548289,0.17638649639555656,0.3130783296369983,2,2027
0.1100764002302334,0.087150305726172,0.3906657818822245,0.1626215736453757,0.019280327397211,0.0218990393907583,0.1478753316988372,0.0722774687616296,0.3541392077715524,0.6276976388407236,0.0812731314263539,0.1559827508238012,0.5729166666666666,0.8899235997697665,3.5047664030644867,29,0,0,0_0,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,0_0_2,0.9610818582342691,0.8426435261912558,0.24280796711790803,0.27865360066159667,2,2027
0.1312064275802686,0.0949820990102159,0.3659271592727646,0.0747931934516501,0.0166767850082891,0.4666930105870253,0.13212545446928,0.1302874006912572,0.7318543185455292,0.6038433776960489,0.1756512792940928,0.1913048270112399,0.5416666666666666,0.8687935724197314,2.692679663824936,36,1,0,1_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,1_0_0,0.9628340014433301,0.8438978830837395,0.2707954890284078,0.23181940951264346,2,2027
0.2129614514393364,0.143495597447187,0.5060054359786277,0.1489669082156486,0.0295783221772786,0.2076321726045782,0.4111818291708826,0.0147410737077902,0.998931978168887,0.0599616354549132,0.2904551882184049,0.0198508848524555,0.2708333333333333,0.7870385485606636,3.228600091751624,57,2,2,2_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,2_2_1,0.9931928338857301,0.8568931294302913,0.3450836313820822,0.2635481155271223,2,2027
0.3599774234329563,0.1136881589732719,0.4945538740335856,0.3619160339400894,0.0419923104795807,-0.0453431481563737,0.7039316837910669,0.0160231630748458,0.9682604875628712,0.0652886691503851,0.2253745719875097,0.0215726956957897,0.0416666666666666,0.6400225765670438,5.734389391578111,59,2,2,2_2,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,2_2_3,1.0214508720899498,0.8525700108604444,0.4995786109120887,0.3358993951260659,2,2027
0.270316274577221,0.1484711168127898,0.5092844426370798,0.4525043886676165,0.0446149826683551,0.6606800112725327,0.4427662190327894,0.0978663301216525,0.9979132486995697,0.451546825821916,0.3715208277232021,0.143496581573828,0.125,0.729683725422779,5.949444208391561,66,2,1,2_1,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,2_1_3,1.0049916991791523,0.8606943425791176,0.41361872131824734,0.40634466104775757,2,2027
0.105019989441686,0.0957855353658008,0.3272762014459461,0.0860774391050512,0.0197686649395693,-0.1164380649776284,0.1097041611538703,0.1003358177295016,0.275287315014903,0.5808215955540195,0.0748586274363613,0.1678385171638616,0.625,0.894980010558314,3.0009791098260354,91,0,0,0_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,0_0_1,0.9537316180329319,0.8446311774695986,0.24030457068672045,0.2431686952313055,2,2027
0.1803254138828453,0.1305337216368317,0.4392011738414648,0.2311305829110305,0.0373965915010361,-0.0044798011219117,0.27299595839627,0.0876548693694206,0.8432734114930033,0.3983637828747478,0.2267189186024672,0.1284284382186934,0.3854166666666667,0.8196745861171547,3.686076580742258,100,1,1,1_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,1_1_2,0.9799852001607156,0.8554488052302893,0.3181071715139296,0.3093466121564162,2,2027
0.0200274513712322,0.0201045179657683,0.1161845436886317,0.0516779522950393,0.0038090481355711,0.3129595928082574,0.0233571487204824,0.016697754021982,0.2323690873772635,0.0763159610235748,0.0404643482324509,0.0244862497060032,0.9791666666666666,0.9799725486287678,3.399926094708744,103,0,2,0_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,0_2_2,0.9156239446431097,0.8251086226168718,0.142698599341992,0.22623529427998398,2,2027
0.1902071526518514,0.1558520863931159,0.5786885400501931,0.1455867183308646,0.0292936671983364,-0.3837710066422278,0.2817819597914272,0.0986323455122757,0.8376585750623322,0.505033366802059,0.2247323052519196,0.146333728344198,0.3333333333333333,0.8097928473481485,3.1151474241623687,126,1,0,1_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,1_0_1,0.9959102845353895,0.8595603191021861,0.3295807448356715,0.2688517126335188,2,2027
0.1204124632449263,0.1437970361065092,0.4757444466240497,0.231200213136366,0.0201721379432336,-0.2567669156144156,0.122168726847805,0.1186561996420477,0.6266322175401708,0.6369345431242176,0.1717771499045967,0.190730193058155,0.5833333333333334,0.8795875367550736,3.8910761627936328,132,1,0,1_0,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,1_0_2,0.9716569373113904,0.8552663327732141,0.2582987063713774,0.32229423493482295,2,2027
0.2510940622008108,0.08653272925489,0.382000378503789,0.1088532909600325,0.0290601087179726,0.7336418142962514,0.3991720420676659,0.1030160823339558,0.764000757007578,0.5791833565752681,0.253816137187229,0.1719540988889773,0.0208333333333333,0.7489059377991891,3.0501933756140263,136,2,1,2_1,test,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,2_1_1,0.988418850290541,0.8442680200053109,0.39395037354424695,0.22442038976262935,2,2027
0.1295525555068526,0.1324431624334681,0.4525731315626284,0.0817419148280806,0.0134371245592513,-0.5116037453913908,0.1804599999801089,0.0786451110335962,0.653449041613267,0.3033134231606779,0.2032955009620974,0.0951241375906674,0.5520833333333334,0.8704474444931474,2.7421339197714434,137,1,1,1_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,1_1_0,0.9711678242576333,0.8515561781560281,0.26389469438555485,0.24279279125528855,2,2027
0.0692618549099334,0.0418038312571253,0.1727398402818596,0.0384502124739116,0.0117815125655869,0.5633026704498756,0.1304429624812116,0.0080807473386551,0.3454796805637193,0.0411781637659132,0.0897952491841922,0.0120386366358472,0.7083333333333334,0.9307381450900666,2.9103316768392564,154,0,2,0_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,0_2_0,0.9311263550101726,0.8313175151383732,0.1935330223892956,0.21491165276295288,2,2027
0.0620900529289082,0.0849806371539297,0.3225070684311781,0.2348674189413643,0.0162402666963405,-0.0075718224460116,0.1217960576905012,0.0023840481673151,0.6373651335237271,0.0203663323442886,0.1698440814281118,0.0051542067433643,0.75,0.9379099470710918,4.530453297083238,170,1,2,1_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,1_2_3,0.9446687174288995,0.8416189881792058,0.18543296039208512,0.32363585298532055,2,2027
0.2163242147041228,0.0589958834248109,0.3480800794060393,0.0650441802127213,0.0190412984130699,0.6080372730903358,0.3141619913482699,0.1184864380599758,0.5743294331293187,0.436762845095387,0.0939579122257706,0.1485508879189488,0.0,0.7836757852958772,2.5866630301890017,177,0,0,0_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,0_0_0,0.9780728508814285,0.8364065280678109,0.35898906924532653,0.2029605536918053,2,2027
0.2144466001039831,0.1092859742383412,0.4432060905797762,0.1439407150139973,0.0262947593432488,0.5472582217076155,0.3146616541615023,0.1142315460464639,0.8864121811595524,0.4324806351693154,0.261089822286939,0.1382455837026895,0.2291666666666666,0.7855533998960169,3.184965860831172,198,2,0,2_0,test,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,2_0_1,0.9872099290787744,0.8487759710142199,0.35659208471382864,0.25356770826819514,2,2027
